# Program:featureCounts v2.0.1; Command:"featureCounts" "-a" "genome/features.saf" "-F" "SAF" "-T" "8" "-o" "data/counts.txt" "bam/mutant-01.bam" "bam/mutant-02.bam" "bam/mutant-03.bam" "bam/mutant-04.bam" "bam/mutant-05.bam" "bam/mutant-06.bam" "bam/wildtype-01.bam" "bam/wildtype-02.bam" "bam/wildtype-03.bam" "bam/wildtype-04.bam" "bam/wildtype-05.bam" "bam/wildtype-06.bam" 
Geneid	Chr	Start	End	Strand	Length	bam/mutant-01.bam	bam/mutant-02.bam	bam/mutant-03.bam	bam/mutant-04.bam	bam/mutant-05.bam	bam/mutant-06.bam	bam/wildtype-01.bam	bam/wildtype-02.bam	bam/wildtype-03.bam	bam/wildtype-04.bam	bam/wildtype-05.bam	bam/wildtype-06.bam
YJR102C	X	619157	619765	-	609	51	39	30	65	21	60	21	38	47	48	39	48
YJR103W	X	620754	622490	+	1737	383	350	352	374	287	468	225	183	169	330	205	340
YJR104C	X	622550	623014	-	465	2559	2397	2188	2407	1944	703	2216	2367	2211	3864	2740	3876
YJR105W	X	623581	624603	+	1023	1091	964	825	1112	709	213	575	598	479	748	693	1140
YJR106W	X	624838	627015	+	2178	53	60	50	70	37	58	36	44	32	49	38	89
YJR107W	X	627340	628326	+	987	70	72	73	86	62	102	25	55	42	66	39	101
YJR108W	X	628712	629083	+	372	6	6	5	10	8	20	4	9	6	7	2	7
YJR109C	X	629585	632941	-	3357	276	223	245	277	194	128	205	85	106	251	98	231
YJR110W	X	633615	635681	+	2067	107	105	116	132	69	60	44	60	55	85	47	142
YJR111C	X	635855	636706	-	852	96	53	41	54	49	111	45	49	37	58	49	85
YJR112W	X	637030	637635	+	606	60	52	54	46	38	97	23	35	25	36	36	53
YJR113C	X	638232	638975	-	744	159	118	125	157	109	118	58	89	76	126	76	143
YJR114W	X	638659	639051	+	393	4	2	0	3	0	0	3	3	2	3	2	4
YJR116W	X	640825	641664	+	840	241	167	135	177	134	387	68	89	82	108	104	159
YJR117W	X	642007	643368	+	1362	358	306	271	424	184	794	124	208	186	234	178	393
YJR118C	X	643490	644101	-	612	105	51	79	101	72	76	36	63	60	67	71	118
YJR119C	X	644304	646490	-	2187	37	17	26	42	26	27	7	20	14	18	24	39
YJR121W	X	647607	649142	+	1536	1290	1024	1013	1267	741	677	582	672	655	922	646	1273
YJR122W	X	649776	651269	+	1494	62	44	39	59	40	91	19	47	35	49	33	62
YJR123W	X	651901	652578	+	678	5038	4428	4565	4945	3519	5320	3278	4485	3351	5798	5002	8057
YJR125C	X	654737	655963	-	1227	291	253	258	333	215	500	178	172	163	257	153	278
YJR126C	X	656254	658689	-	2436	348	263	280	371	206	430	169	226	209	278	221	429
YJR127C	X	658917	663059	-	4143	344	324	346	416	266	627	141	255	163	274	218	580
YJR129C	X	664000	665019	-	1020	18	17	17	25	17	30	13	23	23	34	16	35
YJR130C	X	665218	667137	-	1920	171	152	137	149	82	107	89	82	81	113	67	147
YJR131W	X	667644	669293	+	1650	72	80	86	93	57	77	38	49	54	68	58	86
YJR132W	X	669522	672668	+	3147	102	75	82	115	80	84	43	120	51	91	88	191
YJR133W	X	672991	673620	+	630	73	63	60	70	40	38	57	56	50	84	72	96
YJR134C	X	673729	675852	-	2124	254	200	241	319	140	263	82	127	118	198	140	332
YJR135C	X	676059	676778	-	720	28	16	16	19	14	23	6	17	8	9	11	30
YJR135W-A	X	676971	677234	+	264	72	55	66	83	51	13	43	47	53	73	53	94
YJR136C	X	677441	678706	-	1266	41	32	29	36	36	63	15	37	30	51	22	52
YJR137C	X	678957	683285	-	4329	191	153	170	182	126	99	63	88	66	112	73	165
YJR138W	X	684567	689321	+	4755	88	79	74	95	54	164	25	61	31	54	51	136
YJR139C	X	689445	690524	-	1080	859	756	770	1007	618	208	369	458	448	680	542	951
YJR140C	X	690750	695696	-	4947	95	77	69	96	54	89	40	63	58	69	60	177
YJR141W	X	695906	696949	+	1044	60	46	38	55	26	19	22	51	52	71	53	81
YJR143C	X	698326	700614	-	2289	411	361	357	480	244	235	252	336	235	398	341	626
YJR144W	X	700882	701691	+	810	221	175	170	231	141	182	73	126	78	148	102	208
YJR145C	X;X	702027;703055	702798;703068	-;-	786	2183	2107	2060	2326	1608	297	1635	1982	1441	2503	2419	3486
YJR147W	X	704196	705272	+	1077	79	52	59	61	50	112	57	92	81	118	96	187
YJR148W	X	705744	706874	+	1131	212	192	176	193	141	171	331	286	377	467	275	508
YJR150C	X	708811	709707	-	897	4	6	2	3	2	1	12	19	8	12	20	26
YJR151C	X	712255	715740	-	3486	51	48	31	59	33	61	18	19	16	26	19	44
YJR152W	X	719666	721297	+	1632	68	34	44	59	24	22	19	22	26	34	28	62
YJR153W	X	722815	723900	+	1086	12	14	20	13	8	22	8	18	9	28	15	26
YJR155W	X	727405	728271	+	867	71	45	47	55	53	40	40	22	23	56	30	32
YJR156C	X	728574	729596	-	1023	10	8	4	13	7	2	3	2	1	2	3	3
YJR158W	X	732440	734143	+	1704	0	0	0	0	0	0	0	0	1	0	0	1
YJR159W	X	736044	737117	+	1074	1	0	0	0	0	7	1	0	1	0	0	0
YJR160C	X	738008	739816	-	1809	7	10	2	4	5	7	0	6	2	6	2	11
YJR161C	X	742848	743999	-	1152	11	10	7	18	7	2	1	5	3	5	8	16
YKL224C	XI	1810	2181	-	372	0	2	0	1	0	0	0	0	1	0	1	0
YKL221W	XI	6107	7528	+	1422	25	13	12	15	10	32	2	6	6	7	3	6
YKL220C	XI	9091	11226	-	2136	60	37	44	52	34	12	18	32	36	30	36	73
YKL219W	XI	14485	15708	+	1224	73	60	58	76	47	24	28	33	32	63	29	73
YKL218C	XI	17359	18339	-	981	92	93	89	86	66	59	80	45	44	139	58	82
YKL217W	XI	22234	24084	+	1851	96	83	71	114	71	90	31	33	36	52	33	63
YKL216W	XI	25215	26159	+	945	809	771	864	864	602	621	624	885	626	1136	869	1642
YKL215C	XI	26827	30687	-	3861	120	117	102	137	78	252	59	91	62	111	62	159
YKL214C	XI	31082	31693	-	612	93	63	65	88	51	45	27	46	47	58	43	98
YKL213C	XI	31960	34107	-	2148	274	241	262	313	197	300	145	173	154	230	144	314
YKL212W	XI	34543	36414	+	1872	380	314	306	400	255	391	263	294	234	368	308	553
YKL211C	XI	36699	38153	-	1455	329	264	284	315	199	168	148	128	131	216	144	264
YKL210W	XI	39163	42237	+	3075	764	666	713	827	467	918	338	476	357	579	404	900
YKL209C	XI	42423	46295	-	3873	237	197	210	260	154	269	81	211	114	151	202	356
YKL208W	XI	47157	47972	+	816	57	43	45	50	46	24	18	29	28	47	23	32
YKL206C	XI	49006	49809	-	804	128	85	59	114	81	110	42	65	59	89	48	107
YKL205W	XI	50051	53353	+	3303	97	75	76	90	41	202	48	119	60	76	96	182
YKL204W	XI	53704	55602	+	1899	220	188	151	203	130	1012	111	127	96	174	130	310
YKL203C	XI	55935	63359	-	7425	229	223	203	248	145	254	93	108	92	144	100	252
YKL201C	XI	63930	67466	-	3537	154	97	87	185	81	103	53	91	72	80	91	158
YKL198C	XI	68232	70220	-	1989	206	165	169	187	109	280	138	136	125	156	142	269
YKL197C	XI	70734	73865	-	3132	86	78	75	96	45	165	37	46	49	56	47	117
YKL196C	XI	74932	75534	-	603	365	276	298	357	270	422	164	210	216	322	214	400
YKL195W	XI	75821	77032	+	1212	483	404	404	566	273	624	223	302	304	437	316	577
YKL194C	XI	77258	78646	-	1389	75	68	54	70	35	26	34	48	35	59	28	78
YKL193C	XI	78866	79882	-	1017	134	78	83	146	76	97	43	74	88	115	67	111
YKL192C	XI	80160	80537	-	378	313	232	195	288	243	403	142	232	213	333	239	307
YKL191W	XI	81035	82639	+	1605	156	135	130	182	78	76	93	147	74	149	162	303
YKL190W	XI;XI	82947;83075	82998;83550	+;+	528	303	259	246	298	226	250	112	170	139	229	137	292
YKL189W	XI	84704	85903	+	1200	94	89	59	92	54	57	25	57	38	67	64	93
YKL188C	XI	86225	88786	-	2562	80	76	65	82	52	118	22	30	25	54	25	69
YKL187C	XI	89284	91536	-	2253	97	90	63	112	61	138	32	42	38	47	51	75
YKL186C	XI	92744	93298	-	555	172	110	102	177	111	205	59	99	79	121	91	166
YKL185W	XI	94499	96265	+	1767	193	149	134	154	107	367	131	200	151	235	197	413
YKL184W	XI	96757	98157	+	1401	241	169	177	226	124	265	114	179	130	177	165	297
YKL183W	XI	98721	99641	+	921	149	138	115	154	99	58	73	97	68	115	103	174
YKL182W	XI	100671	106826	+	6156	960	775	839	1030	545	381	955	1252	1007	1504	1303	2814
YKL181W	XI	107316	108599	+	1284	542	499	519	558	370	535	370	551	373	566	575	1085
YKL180W	XI;XI	109269;109884	109577;110129	+;+	555	1903	1596	1682	1752	1347	2417	1109	1797	1275	2062	1801	2842
YKL179C	XI	110464	112503	-	2040	174	177	202	234	131	192	75	136	111	177	124	264
YKL178C	XI	113215	114627	-	1413	12	6	11	19	15	28	0	3	4	8	4	4
YKL176C	XI	115500	117986	-	2487	143	131	118	167	97	114	72	122	112	134	115	269
YKL175W	XI	118793	120304	+	1512	330	271	259	361	212	497	111	165	140	218	186	327
YKL174C	XI	120380	122236	-	1857	112	98	121	145	102	81	60	83	62	117	76	179
YKL173W	XI	122517	125543	+	3027	116	61	106	131	56	127	55	80	72	95	101	166
YKL172W	XI	125759	127042	+	1284	186	158	154	232	107	435	117	245	143	169	304	555
YKL171W	XI	127475	130261	+	2787	175	124	108	158	86	291	63	81	79	110	78	151
YKL170W	XI	130634	131050	+	417	91	92	75	115	79	92	68	87	73	127	96	152
YKL168C	XI	131288	133462	-	2175	133	100	79	181	93	229	51	86	63	105	62	145
YKL167C	XI	133721	134134	-	414	56	46	37	62	36	30	29	46	49	64	42	68
YKL166C	XI	134509	135705	-	1197	41	20	42	53	36	138	23	40	31	41	53	97
YKL165C	XI	137932	140691	-	2760	98	65	48	81	58	140	39	90	63	54	73	130
YKL164C	XI	141794	142819	-	1026	599	405	406	478	373	575	332	535	401	648	492	764
YKL163W	XI	144401	145378	+	978	11	7	15	21	7	34	42	39	26	62	34	54
YKL161C	XI	149386	150687	-	1302	102	62	56	99	52	141	22	26	34	43	29	51
YKL160W	XI	153269	153706	+	438	291	244	243	323	219	455	130	158	171	245	161	315
YKL159C	XI	153816	154451	-	636	60	52	51	75	44	101	46	34	28	71	25	66
YKL157W	XI;XI	154991;155655	155271;158232	+;+	2859	439	372	380	475	252	204	217	239	185	369	214	427
YKL156W	XI;XI	158613;158967	158615;159212	+;+	249	499	421	355	501	381	1742	284	561	370	576	549	782
YKL155C	XI	159456	161342	-	1887	73	63	73	71	54	87	29	60	36	77	57	106
YKL154W	XI	161601	162335	+	735	157	100	116	149	97	70	42	84	65	96	80	134
YKL152C	XI	163642	164385	-	744	12266	10364	10482	11563	8533	1861	8974	11811	10140	17804	12177	20388
YKL151C	XI	164917	165930	-	1014	354	332	297	317	268	635	150	138	132	228	107	218
YKL150W	XI	166544	167452	+	909	406	323	320	432	300	333	224	267	300	432	245	441
YKL149C	XI	167612	168829	-	1218	74	45	39	53	38	51	16	40	31	46	30	78
YKL148C	XI	169207	171129	-	1923	416	288	314	413	219	168	225	151	169	345	128	252
YKL146W	XI	171783	173861	+	2079	253	225	210	248	165	395	95	152	126	182	114	237
YKL145W	XI	174213	175616	+	1404	985	967	932	1095	670	1220	484	563	501	753	530	1109
YKL144C	XI	175843	176481	-	639	32	31	24	34	24	48	16	38	32	25	33	64
YKL143W	XI	176781	178172	+	1392	81	85	96	125	42	96	60	118	77	75	125	281
YKL142W	XI	178515	179174	+	660	359	293	323	416	254	201	120	184	217	312	151	269
YKL141W	XI	179667	180263	+	597	343	241	196	352	196	357	83	149	152	203	125	213
YKL140W	XI	180779	182425	+	1647	255	202	186	264	138	294	103	145	125	159	133	244
YKL139W	XI	182958	184544	+	1587	69	45	52	76	55	135	26	50	46	64	61	110
YKL138C-A	XI	184803	185012	-	210	46	42	36	50	33	66	34	43	34	33	38	36
YKL138C	XI	185286	185681	-	396	82	42	57	70	41	77	32	62	62	65	50	107
YKL137W	XI	185957	186292	+	336	44	38	22	39	27	45	26	39	38	47	39	65
YKL135C	XI	186460	188640	-	2181	256	211	223	298	167	367	93	160	126	189	143	303
YKL134C	XI	189124	191442	-	2319	49	32	41	51	19	69	29	51	29	39	41	66
YKL132C	XI	193574	194866	-	1293	45	31	33	46	33	65	15	33	28	35	25	43
YKL130C	XI	195288	196028	-	741	65	45	54	68	44	43	27	70	51	57	43	103
YKL129C	XI	196349	200167	-	3819	224	261	264	348	183	538	135	91	97	171	98	293
YKL128C	XI	200884	201771	-	888	198	188	176	205	142	235	100	140	127	208	145	215
YKL127W	XI	203541	205253	+	1713	238	213	198	223	151	274	152	170	130	236	158	335
YKL126W	XI	205707	207749	+	2043	439	364	447	457	302	316	239	271	250	438	251	496
YKL125W	XI	208247	210130	+	1884	47	32	18	31	23	40	25	50	32	31	69	109
YKL124W	XI	210593	212332	+	1740	145	75	103	162	65	209	42	69	75	86	59	123
YKL122C	XI	212495	212998	-	504	155	112	113	172	102	312	48	122	115	117	144	210
YKL121W	XI	214142	216700	+	2559	100	100	93	99	57	212	40	58	46	75	44	87
YKL120W	XI	217344	218318	+	975	87	101	85	112	68	74	54	96	63	97	83	150
YKL119C	XI	218570	219217	-	648	63	36	46	59	31	21	28	40	28	46	34	56
YKL117W	XI	220324	220974	+	651	1438	1291	1307	1691	1067	1686	589	751	715	1099	738	1216
YKL116C	XI	221344	222900	-	1557	100	67	71	106	53	65	35	70	57	69	56	115
YKL114C	XI	223352	224455	-	1104	127	120	118	164	100	125	48	86	55	77	73	162
YKL113C	XI	224727	225875	-	1149	120	101	119	120	92	120	56	71	52	69	73	139
YKL112W	XI	226570	228765	+	2196	167	120	109	166	114	167	59	91	51	109	85	108
YKL110C	XI	228939	229880	-	942	81	70	60	74	60	70	34	112	47	94	108	180
YKL109W	XI	232227	233891	+	1665	168	138	123	125	82	120	199	465	326	447	402	853
YKL108W	XI	234426	235787	+	1362	92	53	82	93	53	122	13	42	31	27	44	66
YKL106W	XI	237536	238891	+	1356	80	44	60	81	46	92	38	53	34	65	55	87
YKL105C	XI	239185	242583	-	3399	209	168	157	226	128	402	85	110	87	142	115	236
YKL104C	XI	243220	245373	-	2154	801	522	588	828	417	1710	266	317	328	415	322	710
YKL101W	XI	248920	253476	+	4557	308	197	250	369	142	690	107	182	147	215	174	455
YKL100C	XI	253697	255460	-	1764	461	337	338	457	222	268	163	233	247	302	187	405
YKL099C	XI	255720	256472	-	753	45	26	28	35	20	59	16	80	34	33	70	151
YKL098W	XI	256770	257843	+	1074	153	110	114	145	101	137	90	106	84	149	113	199
YKL096W-A	XI	259253	259531	+	279	1831	1612	1581	2055	1329	5178	1462	1899	1790	2270	2047	3607
YKL096W	XI	261132	261851	+	720	433	271	219	404	197	169	344	469	711	683	450	714
YKL095W	XI	262277	263113	+	837	41	29	32	41	17	81	19	38	25	38	24	60
YKL094W	XI	263349	264290	+	942	399	341	328	436	297	620	188	236	209	336	258	400
YKL093W	XI	264789	265808	+	1020	84	45	28	60	46	94	28	36	40	52	35	73
YKL092C	XI	266145	269459	-	3315	86	55	71	91	45	100	20	39	41	63	50	114
YKL091C	XI	269718	270650	-	933	184	125	107	172	109	129	76	88	91	150	82	159
YKL090W	XI	271878	273209	+	1332	52	36	35	53	30	52	21	35	32	46	42	60
YKL089W	XI	273394	275043	+	1650	45	26	39	49	26	47	12	18	15	28	25	51
YKL088W	XI	275283	276998	+	1716	174	148	201	217	112	368	94	125	101	166	132	275
YKL087C	XI	277189	277863	-	675	130	98	76	132	76	140	54	86	77	113	85	142
YKL086W	XI	278281	278664	+	384	38	26	39	62	36	11	14	10	28	34	21	22
YKL085W	XI	279123	280127	+	1005	593	532	529	533	381	219	391	311	379	548	310	527
YKL084W	XI	280509	280859	+	351	79	69	55	80	51	319	28	40	33	45	51	60
YKL082C	XI	281025	282329	-	1305	146	110	145	185	91	508	62	148	88	109	241	458
YKL081W	XI;XI	282891;283422	283095;284455	+;+	1239	1743	1490	1471	1721	1088	616	1101	1621	1185	1931	1851	3133
YKL080W	XI	285030	286208	+	1179	473	418	380	523	324	219	212	385	292	394	355	713
YKL079W	XI	286603	288573	+	1971	144	112	112	145	83	155	45	111	78	109	94	192
YKL078W	XI	288845	291052	+	2208	8	6	7	17	6	12	8	44	16	18	41	99
YKL076C	XI	292838	293221	-	384	59	56	62	65	52	48	19	33	32	29	37	78
YKL074C	XI	294610	296193	-	1584	64	53	52	66	47	72	23	51	41	68	63	105
YKL073W	XI	296430	299075	+	2646	151	131	137	176	88	113	61	104	79	121	109	255
YKL072W	XI	299582	301882	+	2301	80	47	47	65	44	44	22	50	31	59	53	104
YKL069W	XI	307285	307827	+	543	68	63	84	80	55	63	27	33	31	53	31	50
YKL068W	XI	310199	313078	+	2880	160	106	91	153	79	246	74	130	82	109	146	261
YKL067W	XI	314812	315273	+	462	549	421	437	635	390	753	192	247	258	420	251	389
YKL065C	XI	316437	317057	-	621	583	427	449	612	369	228	165	256	306	420	248	426
YKL064W	XI	317764	320673	+	2910	426	383	398	505	296	354	203	264	201	365	244	504
YKL062W	XI	323228	325120	+	1893	95	72	48	95	60	97	194	244	266	281	232	426
YKL061W	XI	325771	326112	+	342	49	34	42	62	25	46	11	29	14	30	25	40
YKL060C	XI	326408	327487	-	1080	26399	23653	24219	26236	18031	10187	17285	18538	14967	28564	19734	35434
YKL059C	XI	328118	329443	-	1326	108	86	110	112	64	136	44	78	68	91	87	157
YKL058W	XI	330166	330534	+	369	167	128	107	178	108	60	60	96	107	137	87	198
YKL057C	XI	330856	333969	-	3114	188	114	109	188	78	132	61	114	87	118	108	251
YKL056C	XI	334412	334915	-	504	2796	2327	2338	2974	2047	217	2318	3222	2230	3909	3808	5042
YKL055C	XI	335321	336157	-	837	4	6	12	5	4	12	6	8	3	7	9	15
YKL054C	XI	336537	338753	-	2217	318	273	247	379	194	1005	256	328	247	384	381	802
YKL053C-A	XI	339182	339442	-	261	122	100	96	114	83	60	66	56	61	102	57	95
YKL052C	XI	339668	340546	-	879	175	133	98	168	93	214	70	102	82	108	111	165
YKL051W	XI	341312	342373	+	1062	136	110	98	132	84	313	110	243	143	246	149	281
YKL049C	XI	346075	346764	-	690	71	38	42	73	37	192	22	42	43	43	53	71
YKL048C	XI	347214	349136	-	1923	50	45	31	44	35	62	17	36	29	33	36	55
YKL047W	XI	349463	351013	+	1551	61	31	44	77	34	29	35	53	31	53	46	97
YKL046C	XI	351275	352624	-	1350	527	512	478	562	356	275	258	268	234	391	256	550
YKL045W	XI	353493	355079	+	1587	162	118	113	149	89	91	33	52	45	67	65	121
YKL044W	XI	356322	356642	+	321	11	6	8	17	5	33	3	11	9	12	12	21
YKL043W	XI	356748	357848	+	1101	210	158	130	197	104	548	182	300	191	290	319	521
YKL042W	XI	358475	359566	+	1092	88	45	44	84	53	72	17	46	44	41	38	64
YKL041W	XI	360143	360817	+	675	142	125	120	172	102	270	51	79	66	115	70	169
YKL040C	XI	361058	361828	-	771	148	80	98	132	85	94	45	74	56	101	78	183
YKL039W	XI	362622	364193	+	1572	435	363	327	443	264	569	233	251	245	342	263	487
YKL038W	XI	365605	369117	+	3513	244	224	193	249	148	292	129	137	92	167	128	272
YKL037W	XI	369365	369721	+	357	78	60	68	79	73	50	9	16	20	31	19	30
YKL035W	XI	369891	371390	+	1500	1009	888	909	1128	740	761	740	776	840	1407	638	1259
YKL034W	XI	371829	374105	+	2277	176	119	136	160	102	225	66	86	68	141	89	157
YKL033W	XI	375456	378572	+	3117	62	60	52	62	40	57	18	38	32	46	34	78
YKL032C	XI	380065	381858	-	1794	532	359	357	461	352	2363	166	264	205	321	271	568
YKL029C	XI	382716	384725	-	2010	216	216	230	204	203	367	230	221	125	327	271	492
YKL028W	XI	385758	387206	+	1449	271	209	215	265	166	279	108	157	109	193	192	337
YKL027W	XI	387562	388905	+	1344	110	83	77	101	68	105	58	89	57	90	90	147
YKL026C	XI	389380	389883	-	504	51	34	35	63	27	26	17	30	34	44	21	30
YKL025C	XI	390240	392279	-	2040	144	115	94	148	92	344	62	105	108	119	96	197
YKL024C	XI	392526	393140	-	615	307	257	256	280	211	83	155	234	182	286	286	382
YKL022C	XI	394726	397248	-	2523	92	85	79	98	67	93	46	62	50	84	79	110
YKL021C	XI	397344	398750	-	1407	131	116	127	160	72	175	56	142	89	126	138	299
YKL020C	XI	398832	402080	-	3249	226	130	146	193	132	367	80	116	97	156	117	250
YKL019W	XI	402568	403518	+	951	211	216	156	228	175	132	132	134	130	241	131	245
YKL018W	XI	404102	405091	+	990	61	47	41	55	40	144	30	34	34	53	43	83
YKL017C	XI	405190	407241	-	2052	77	62	70	103	50	91	45	61	43	80	56	91
YKL016C	XI	407465	407989	-	525	268	219	183	264	179	135	97	162	144	206	145	223
YKL015W	XI	408544	411483	+	2940	130	85	116	154	104	121	63	80	56	108	100	153
YKL014C	XI	411619	416913	-	5295	115	93	94	147	63	93	75	148	89	127	167	359
YKL013C	XI	417508	418023	-	516	343	225	208	300	214	328	146	178	176	245	178	254
YKL012W	XI	418310	420061	+	1752	174	116	147	229	94	299	74	132	94	127	89	191
YKL011C	XI	420155	421216	-	1062	45	30	34	43	27	37	6	25	24	31	20	49
YKL010C	XI	421424	425875	-	4452	171	131	133	204	109	135	71	128	122	137	146	220
YKL009W	XI	426242	426952	+	711	122	98	75	126	63	108	71	245	146	173	306	501
YKL008C	XI	427295	428551	-	1257	255	199	165	240	150	45	103	233	165	195	240	384
YKL007W	XI	429302	430108	+	807	313	264	239	324	195	532	134	176	186	277	170	281
YKL006C-A	XI;XI	430198;430597	430455;430632	-;-	294	60	31	34	36	42	40	11	30	16	34	24	45
YKL006W	XI;XI	431906;432433	432034;432720	+;+	417	900	766	705	755	702	87	526	939	633	1065	994	1342
YKL005C	XI	433093	434877	-	1785	108	83	92	132	73	125	45	84	52	96	89	211
YKL004W	XI	435580	436785	+	1206	212	182	156	272	154	323	122	186	148	227	217	410
YKL003C	XI	437097	437492	-	396	77	51	65	59	57	91	37	51	55	61	50	95
YKL002W	XI;XI	437778;437906	437837;438544	+;+	699	257	181	241	310	199	229	134	128	154	184	132	284
YKL001C	XI	438777	439385	-	609	102	73	66	93	68	48	35	47	28	60	40	58
YKR001C	XI	440608	442722	-	2115	440	413	447	520	262	587	222	282	260	332	243	574
YKR002W	XI	443232	444938	+	1707	214	160	167	250	132	164	68	108	119	145	114	264
YKR003W	XI	445381	446727	+	1347	147	116	110	186	104	237	84	89	98	136	70	168
YKR004C	XI;XI	446799;447811	447706;448036	-;-	1134	38	21	15	28	18	19	9	29	22	32	25	49
YKR006C	XI	450423	451217	-	795	93	68	70	124	78	141	47	71	71	88	81	124
YKR007W	XI	451434	451988	+	555	186	128	150	163	130	343	92	104	83	150	106	164
YKR008W	XI	452201	454078	+	1878	150	79	79	158	76	315	39	99	66	97	110	179
YKR009C	XI	454352	457054	-	2703	94	83	70	106	55	167	39	66	47	80	50	91
YKR010C	XI	458924	461239	-	2316	76	58	64	68	44	55	25	49	37	43	54	91
YKR011C	XI	461635	462696	-	1062	176	116	114	166	96	227	53	72	85	120	62	133
YKR013W	XI	463959	464948	+	990	574	510	482	565	380	1198	252	259	218	400	266	464
YKR014C	XI	465367	466071	-	705	343	261	281	395	210	743	159	222	199	264	205	347
YKR017C	XI	471694	473349	-	1656	116	62	78	108	46	194	29	74	46	71	71	120
YKR019C	XI	476216	478063	-	1848	66	63	67	80	45	131	39	54	32	62	57	87
YKR020W	XI	478338	478832	+	495	93	40	62	70	64	79	29	52	32	72	32	70
YKR021W	XI	479234	481981	+	2748	132	114	92	134	67	226	58	74	71	110	84	186
YKR022C	XI	482171	483139	-	969	98	94	106	136	84	102	40	69	56	93	58	123
YKR024C	XI	485144	487372	-	2229	25	13	18	12	15	18	10	37	29	21	45	84
YKR025W	XI	487770	488618	+	849	125	116	121	131	84	112	62	132	77	128	131	202
YKR026C	XI	488738	489655	-	918	160	103	112	154	98	245	91	149	97	143	122	255
YKR027W	XI	491364	493661	+	2298	95	78	86	96	49	56	46	61	42	66	72	151
YKR028W	XI	494257	497358	+	3102	321	244	274	336	178	377	152	249	184	229	261	487
YKR029C	XI	497578	499833	-	2256	111	74	80	108	55	118	28	70	47	69	63	112
YKR030W	XI	500282	501103	+	822	105	44	69	84	75	181	33	72	52	61	66	90
YKR031C	XI	501344	506395	-	5052	190	160	166	244	87	196	86	115	99	90	86	286
YKR034W	XI	506898	507707	+	810	0	0	1	2	3	1	0	4	1	2	2	0
YKR035C	XI	507920	508561	-	642	2	3	4	3	1	1	2	1	4	1	1	0
YKR035W-A	XI	507939	508553	+	615	0	0	0	0	0	0	0	0	0	0	0	0
YKR036C	XI	508702	510633	-	1932	94	76	75	90	57	192	46	67	45	77	91	122
YKR037C	XI	510910	511797	-	888	39	31	37	44	34	43	18	24	22	40	27	47
YKR038C	XI	511999	513159	-	1161	208	159	139	188	133	212	75	126	97	140	126	215
YKR039W	XI	515063	516871	+	1809	347	316	246	402	183	112	66	42	58	69	48	79
YKR042W	XI	519527	520624	+	1098	3595	3006	3037	3501	2435	1908	1849	2370	1753	2760	2558	4249
YKR043C	XI	520897	521712	-	816	439	471	441	498	331	1027	290	412	259	421	436	764
YKR044W	XI	522015	523346	+	1332	118	97	91	111	70	180	50	94	61	88	73	178
YKR046C	XI	524223	525074	-	852	386	339	318	380	256	305	137	226	172	244	187	365
YKR048C	XI	525387	526640	-	1254	633	667	692	820	405	304	400	364	302	533	354	816
YKR049C	XI	526830	527231	-	402	148	138	114	165	111	140	74	61	72	128	67	107
YKR050W	XI	527815	530484	+	2670	139	144	113	178	99	110	99	76	80	116	71	155
YKR052C	XI	532550	533464	-	915	117	89	87	118	61	132	48	92	73	98	76	142
YKR053C	XI	534067	535281	-	1215	64	61	63	83	57	126	66	90	67	132	74	153
YKR054C	XI	535647	547925	-	12279	134	119	164	162	106	100	53	88	73	120	108	261
YKR055W	XI	548216	549091	+	876	44	38	48	49	32	55	17	23	21	22	24	36
YKR056W	XI	549448	551367	+	1920	49	43	45	77	26	114	32	61	46	52	86	158
YKR057W	XI;XI	551657;552003	551680;552242	+;+	264	1389	1166	1225	1314	1074	78	1179	1364	1007	1818	1645	2225
YKR058W	XI	552770	554620	+	1851	197	146	158	192	101	275	226	198	235	419	171	388
YKR059W	XI	554987	556174	+	1188	250	268	212	280	188	244	165	237	174	276	240	440
YKR060W	XI	556518	557342	+	825	20	7	8	21	15	34	6	36	14	16	29	37
YKR061W	XI	557677	558954	+	1278	72	29	32	60	31	50	26	48	39	84	55	116
YKR062W	XI	559666	560652	+	987	150	134	140	226	107	75	50	79	68	107	83	165
YKR063C	XI	560789	562297	-	1509	63	48	44	80	26	57	27	45	29	52	35	95
YKR064W	XI	562547	565138	+	2592	76	75	69	89	55	160	30	62	46	53	65	121
YKR065C	XI	565299	565892	-	594	174	149	109	153	117	158	86	124	106	150	107	190
YKR066C	XI	566113	567198	-	1086	562	490	412	552	328	556	293	308	252	438	259	536
YKR067W	XI	567918	570149	+	2232	344	226	178	371	151	178	124	177	174	214	141	257
YKR068C	XI	570328	570909	-	582	143	111	105	148	93	81	46	57	75	84	82	161
YKR069W	XI	571612	573393	+	1782	146	94	108	154	106	102	42	50	28	68	29	75
YKR071C	XI	574934	575980	-	1047	263	181	197	232	138	225	61	162	108	161	129	272
YKR072C	XI	576435	578123	-	1689	187	202	165	195	120	575	135	159	116	227	148	321
YKR074W	XI	579209	579676	+	468	128	107	110	145	89	291	59	83	72	106	83	126
YKR076W	XI	582283	583395	+	1113	199	143	173	221	145	244	50	31	57	91	34	64
